Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Bricklinked,Archive,Selling,No Minifigures,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"8909-17","Collectable Minifigures","Team GB",2012,"LEGO Minifigures - Team GB - Complete",9,63,,,,,,,8.8,1,11.7,,"",1,1,0,,0,1,,,,,,,,,,,"01/07/2012","31/12/2012"
"10029-1","Discovery","",2003,"Lunar Lander",2,453,89.99,40,,,,673419034715,38.4,28.8,6,,"",1,1,0,,0,1,"Yes","Yes",,"Yes",,,,,455.2500,145.2700,"01/10/2003","31/12/2004"
"10248-1","Creator Expert","Vehicles",2015,"Ferrari F40",,1158,74.99,99.99,119.99,89.99,5702015348164,,48,28.2,7.4,,"",1,1,0,,0,1,,,,,,,,,286.1300,175.1900,"01/08/2015","31/12/2017"
"10258-1","Creator Expert","Vehicles",2017,"London Bus",,1686,109.99,139.99,179.99,119.99,5702015865296,,47.5,37.4,10.7,,"",1,1,0,,0,1,,,,,,,,,120.5300,92.5000,"01/08/2017","31/12/2021"
"10265-1","Creator Expert","Vehicles",2019,"Ford Mustang",,1471,149.99,169.99,209.99,169.99,5702016368260,673419302425,48,28.2,11.8,,"",1,1,0,,0,1,,,,,,,,,121.5200,98.0000,"01/03/2019","31/12/2023"
"10300-1","Icons","Vehicles",2022,"Back to the Future Time Machine",2,1872,169.99,199.99,249.99,199.99,5702017153186,,48,28.2,11.8,,"",1,1,0,,0,1,,,,,,,,,167.0900,140.0000,"01/04/2022","31/12/2025"
"10687-1","Juniors","Marvel Super Heroes",2015,"Spider-Man Hideout",3,137,29.99,29.99,29.99,34.99,,673419232234,28.194,26.2128,5.8928,0.4626638,"",1,1,0,,0,1,,"Yes",,,,,,,40.4400,14.8100,"01/06/2015","31/12/2017"
"10721-1","Juniors","Marvel Super Heroes",2016,"Iron Man vs. Loki",2,66,11.99,12.99,17.99,12.99,,673419247504,15.6972,14.097,4.4958,0.1362,"",1,1,0,,0,1,,,,,,,,,37.1100,16.1000,"01/01/2016","31/12/2016"
"11910-1","Space","Classic",2015,"Micro-Scale Space Cruiser",,102,,,,,,,,,,,"",1,1,0,,0,1,,,,,,,,,23.3800,9.1400,"",""
"21018-1","Architecture","Landmark Series",2013,"United Nations Headquarters",,597,49.99,49.99,59.99,49.99,5702014973114,673419190718,26.2,19.1,7.2,,"",1,1,0,,0,1,,,,,,,,,118.3300,65.4800,"01/10/2013","31/12/2015"
"21100-1","Ideas","Licensed",2011,"Shinkai 6500 Submarine",,413,,,,,5702014796751,,,,,,"",1,1,0,,0,1,"Yes",,,,,,,,1501.6300,354.4800,"",""
"21101-1","Ideas","Licensed",2012,"Hayabusa",1,369,44.99,49.99,59.99,,,673419179096,28.2,26.2,7.6,,"",1,1,0,,0,1,"Yes",,,,,,,,369.1700,140.0000,"01/05/2012","31/12/2013"
"21103-1","Ideas","Licensed",2013,"The DeLorean Time Machine",2,401,34.99,34.99,44.99,39.99,5702015064835,,26,18.8,6,,"",1,1,0,,0,1,,,,,,,,,177.6700,101.2400,"01/08/2013","31/12/2014"
"21104-1","Ideas","NASA",2014,"NASA Mars Science Laboratory Curiosity Rover",,295,24.99,29.99,34.99,,,673419217408,26.2,19.1,6.1,,"",1,1,0,,0,1,"Yes",,,,,,,,389.0400,77.1500,"01/01/2014","31/12/2014"
"21108-1","Ideas","Licensed",2014,"Ghostbusters Ecto-1",4,508,44.99,49.99,59.99,49.99,5702015287593,,35.4076,19.1008,5.8928,0.69,"",1,1,0,,0,1,,,"Yes",,,,,,119.5500,92.2600,"01/06/2014","31/12/2016"
